frame,landmark,x,y,z,visibility
0,0,0.013608908,1.4724721,-0.2397211,1.0
0,1,0.047772452,1.4961292,-0.23145473,1.0
0,2,0.04543325,1.4899175,-0.22344953,1.0
0,3,0.040223762,1.5082749,-0.23422287,1.0
0,4,0.019258056,1.5052719,-0.24929596,1.0
0,5,0.010457743,1.5093509,-0.26535094,1.0
0,6,0.025486091,1.4939525,-0.23770496,1.0
0,7,0.079734266,1.4784764,-0.10888692,1.0
0,8,-0.043189097,1.4487939,-0.12646398,1.0
0,9,0.05155293,1.4449377,-0.18639039,1.0
0,10,0.03193943,1.4394983,-0.2092085,1.0
0,11,0.15249361,1.3091766,0.018401101,1.0
0,12,-0.10622032,1.3788725,0.03128418,1.0
0,13,0.2246046,1.0639485,0.081043035,1.0
0,14,-0.15409558,1.0914909,-0.0056823166,1.0
0,15,0.21467406,0.8533491,0.0749373,1.0
0,16,-0.2004477,0.90726846,-0.12120617,1.0
0,17,0.21618257,0.8113095,0.07474255,1.0
0,18,-0.16160524,0.85968286,-0.14559214,1.0
0,19,0.20027286,0.79836965,0.050690483,1.0
0,20,-0.13161479,0.885492,-0.18880627,1.0
0,21,0.24593258,0.8172365,0.06931593,1.0
0,22,-0.15756223,0.9047634,-0.1377277,1.0
0,23,0.06859736,0.83007556,0.022839941,1.0
0,24,-0.080140576,0.8632468,-0.027875537,1.0
0,25,0.09680242,0.42885274,-0.0589863,1.0
0,26,-0.054206003,0.53788954,-0.09731267,1.0
0,27,0.051464893,0.08228982,0.019822752,1.0
0,28,-0.08420049,0.15015668,0.047929786,1.0
0,29,0.024283346,0.035296626,0.024533797,1.0
0,30,-0.07053624,0.1132166,0.016936563,1.0
0,31,0.033209782,0.018855516,-0.031747337,1.0
0,32,-0.07643591,0.08277765,-0.050202385,1.0
1,0,0.010322906,1.4731219,-0.26970842,1.0
1,1,0.04315807,1.4939471,-0.25856093,1.0
1,2,0.03895257,1.489491,-0.25490636,1.0
1,3,0.033402085,1.507394,-0.25805822,1.0
1,4,0.013561638,1.5018984,-0.27536407,1.0
1,5,0.009413475,1.5022873,-0.2958515,1.0
1,6,0.018649425,1.4897434,-0.25794163,1.0
1,7,0.076789245,1.4725646,-0.14191352,1.0
1,8,-0.04637054,1.4429882,-0.14840299,1.0
1,9,0.043457605,1.4432416,-0.21307917,1.0
1,10,0.022196539,1.4383948,-0.23483351,1.0
1,11,0.15530689,1.3071077,-0.01249167,1.0
1,12,-0.10814962,1.3827955,0.01029625,1.0
1,13,0.23046261,1.0565815,0.04193705,1.0
1,14,-0.17752615,1.089097,-0.010849034,1.0
1,15,0.23193753,0.8455963,0.023686068,1.0
1,16,-0.23336287,0.9032767,-0.1325998,1.0
1,17,0.23438632,0.79393715,0.022619233,1.0
1,18,-0.19812874,0.8430492,-0.15434532,1.0
1,19,0.22069593,0.7816667,-0.0042066206,1.0
1,20,-0.1631559,0.87258905,-0.19704677,1.0
1,21,0.26470453,0.80678034,0.018692873,1.0
1,22,-0.18935768,0.89002216,-0.1465882,1.0
1,23,0.06757746,0.8306274,0.025925005,1.0
1,24,-0.08450239,0.8554885,-0.030846387,1.0
1,25,0.08654125,0.4346081,-0.055090703,1.0
1,26,-0.059983507,0.5337483,-0.08529054,1.0
1,27,0.057243213,0.087297425,0.034790635,1.0
1,28,-0.078261055,0.14371681,0.062137097,1.0
1,29,0.025230845,0.04324592,0.043039873,1.0
1,30,-0.06399085,0.11194439,0.036209412,1.0
1,31,0.033833496,0.023443844,-0.0076986128,1.0
1,32,-0.07120521,0.06990677,-0.031064235,1.0
2,0,0.009362593,1.4746572,-0.28048712,1.0
2,1,0.03950235,1.4927467,-0.26641777,1.0
2,2,0.0368949,1.4903951,-0.26174408,1.0
2,3,0.02805056,1.5074605,-0.26302487,1.0
2,4,0.010367082,1.5032073,-0.28357986,1.0
2,5,0.009073267,1.5026523,-0.30099025,1.0
2,6,0.014722412,1.4920977,-0.26382232,1.0
2,7,0.074016325,1.4720694,-0.14883357,1.0
2,8,-0.048968136,1.4417984,-0.15431428,1.0
2,9,0.041589566,1.4447393,-0.21988775,1.0
2,10,0.017063612,1.4378272,-0.2406609,1.0
2,11,0.15502392,1.3101737,-0.01799163,1.0
2,12,-0.10997706,1.3840156,0.006250238,1.0
2,13,0.23088239,1.0583931,0.03393134,1.0
2,14,-0.18464118,1.089928,-0.011904376,1.0
2,15,0.23815602,0.8448759,0.017568834,1.0
2,16,-0.2400201,0.9025555,-0.13377483,1.0
2,17,0.2440135,0.789018,0.01422794,1.0
2,18,-0.20533249,0.8393336,-0.1555574,1.0
2,19,0.22913879,0.7790156,-0.012570305,1.0
2,20,-0.17025532,0.87245816,-0.19812521,1.0
2,21,0.27098924,0.8058971,0.010453718,1.0
2,22,-0.19767153,0.88850266,-0.14789668,1.0
2,23,0.06807386,0.8337888,0.026119675,1.0
2,24,-0.08669079,0.8528044,-0.030855993,1.0
2,25,0.08240358,0.43822968,-0.052853335,1.0
2,26,-0.060985632,0.5284017,-0.081248954,1.0
2,27,0.06113007,0.09066028,0.04423523,1.0
2,28,-0.07298239,0.1369455,0.06506584,1.0
2,29,0.027415792,0.046576437,0.055570465,1.0
2,30,-0.06130854,0.108444124,0.040541124,1.0
2,31,0.036946144,0.027373135,0.0056962944,1.0
2,32,-0.069298245,0.061047796,-0.028621022,1.0
3,0,0.007287818,1.4678019,-0.30772564,1.0
3,1,0.035689335,1.4888616,-0.29125005,1.0
3,2,0.036815323,1.4907373,-0.28553858,1.0
3,3,0.02199854,1.5084938,-0.282238,1.0
3,4,0.010776645,1.5007315,-0.3065479,1.0
3,5,0.010310724,1.5000314,-0.32141194,1.0
3,6,0.014851088,1.4938654,-0.2825041,1.0
3,7,0.07275181,1.4689972,-0.16949952,1.0
3,8,-0.048185375,1.4371786,-0.17453048,1.0
3,9,0.03752421,1.4393225,-0.24218372,1.0
3,10,0.012778258,1.4366746,-0.26411575,1.0
3,11,0.16045223,1.3033938,-0.036530647,1.0
3,12,-0.11315657,1.3780124,-0.0047316626,1.0
3,13,0.24046153,1.0555004,0.013943934,1.0
3,14,-0.20385735,1.0984803,-0.016711373,1.0
3,15,0.26649493,0.841297,0.008257072,1.0
3,16,-0.27526435,0.90243304,-0.13751464,1.0
